Name,Review_Count,Rating,Prices,Description,Ingredients,Cal,Nutrition,url
Wd 40 Smart Straw 450Ml,(4),4.2,5.50,Show us how you use WD-40 at wd40.co.uk/lifehacks,"Hydrocarbons, C9-C11, N-Alkanes, Isoalkanes, Cyclics, <2% Aromatics",Nan,Nan,https://www.tesco.com/groceries/en-GB/products/294834669
Energizer Max AA 4 Pack,(1),2,3.75,4-pack of Energizer MAX® Alkaline AA batteries,Use By: See Battery,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/251568456
Golden Virginia Yellow 50G,(1),5,23.40,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295459410
Gold Leaf Jps 30G,(4),4,12.80,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295494176
Duracell Plus AAA 4 Pack,(29),4.9,4.00,AA batteries,Made in Belgium,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/251456525
Pritt Stick 22G 3 Pack,(14),5,4.00,"New formula gives cleaner & more accurate application, it is solvent & free",3 x 22g,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/278395993
Amber Leaf Roll Your Own 30G,(1),5,15.74,Pack size: 30G,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/294682986
Players Bright Superkings 20 Pack,(1),5,9.29,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295772348
Benson & Hedges Sky Blue King Size 20 Pack,No ratings yet,Nan,9.29,Nan,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295037592
Carlton Original Superkings 20 Pack,No ratings yet,Nan,8.75,Manufactured in the EU by Imperial Tobacco Limited.,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/296058323
B&H Sky Blue Superkings 20 Pack,(2),5,9.29,Nan,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/293819851
Players Real Red 20 Pack,(2),5,9.29,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295901341
Sovereign Blue Superkings 20 Pack,No ratings yet,Nan,9.25,Nan,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/296129171
Sterling Roll Your Own 30G,(4),4.8,12.00,Pack size: 30G,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295037690
Rothmans King Size Blue 20 Pack,(1),5,8.40,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295797843
Tesco Napkins White 33Cm 2Ply 50 Pack,(2),1,1.50,Disposable napkins in a white finish \n ,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/262271980
Swan Ultra Slim Filter Tips 126 Pack,No ratings yet,Nan,1.02,To see our full range of products why not visit us on the web www.houseofswan.com,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/283168339
Radio Times,(1),5,3.30,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/306144344
Tesco Unicorn And Castle 2 Sheets 2 Tags,No ratings yet,Nan,1.00,"- 2 Sheets of giftwrap with a colourful, fun princess design print.",Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/288728879
