Name,Review_Count,Rating,Prices,Description,Ingredients,Cal,Nutrition,url
Mcvitie's Jaffa Cakes Triple Pack 30 Cakes,(20),3.4,2.00,30 Light Sponge Cakes with Dark Crackly Chocolate and a Smashing Orangey Centre,"Glucose-Fructose Syrup, Plain Chocolate (19%) [Sugar, Cocoa Mass, Vegetable Fats (Palm, Shea), Butter Oil (Milk), Cocoa Butter, Emulsifiers (Soya Lecithin, E476), Natural Flavouring], Sugar, Flour (Wheat Flour, Calcium, Iron, Niacin, Thiamin), Whole Egg, Water, Dextrose, Concentrated Orange Juice (8% Orange Juice Equivalent), Glucose Syrup, Vegetable Oils (Sunflower, Palm), Humectant (Glycerine), Gelling Agent (Pectin), Acid (Citric Acid), Raising Agents (Ammonium Bicarbonate, Disodium Diphosphate, Sodium Bicarbonate), Dried Whole Egg, Acidity Regulator (Sodium Citrates), Natural Orange Flavouring, Colour (Curcumin), Emulsifier (Soya Lecithin)",Energy Per 100g ,Energy (kJ)1600195 (kcal)37946Fat 7.9g1.0gof which Saturates 4.0g0.5gCarbohydrate 70.9g8.7gof which,https://www.tesco.com/groceries/en-GB/products/301516189
Jacobs Mini Cheddars Original 6X25g,(7),4,1.50,Cheese Snack Biscuits,"Flour (Wheat Flour, Calcium, Iron, Niacin, Thiamin), Vegetable Oils (Palm, Sunflower), Dried Cheese (12%) (Milk) [Dried Powdered Cheese (Milk), Natural Flavouring, Yeast Extract (Barley)], Sugar, Glucose Syrup, Salt, Dried Whey (Milk), Barley Malt Extract, Raising Agents (Ammonium Bicarbonate, Sodium Bicarbonate), Acid (Lactic Acid), Natural Flavourings",Energy Per 100g ,Energy (kJ)2139535(kcal)512128Fat 29.2g7.3gof which Saturates 11.6g2.9gCarbohydrate 50.1g12.5gof which Sug,https://www.tesco.com/groceries/en-GB/products/301063919
Walkers Classic Variety Multipack Crisps 24 X 25G,(7),3.9,3.00,"6 x Cheese & Onion Flavour Potato Crisps
6 x Ready Salted Potato Crisps
6 x Salt & Vinegar Flavour Potato Crisps
6 x Prawn Cocktail Flavour Crisps (with sugar and sweetener)",Store in a cool dry place,Energy 542kJ ,Energy 549kJ2194kJ-132kcal(7%*)526kcalFat 8.0g(11%*)31.9gof which Saturates 0.7g(3%*)2.6gCarbohydrate 12.9g51.5gof which Sugars0.1g(<1%*)0.4gFibre 1.1g4.3gProtein 1.5g6.1gSalt 0.35g(6%*)1,https://www.tesco.com/groceries/en-GB/products/305037778
Kellogg's Crunchy Nut 500G,(5),4.2,3.00,"Golden Flakes of Corn with Sugar, Peanuts and Honey.",By Appointment to HM The Queen Purveyors of Cereals Kelloggs Marketing and Sales Company (UK) Limited,Energy 1683kJ ,Energy 1683kJ505kJ-398kcal119kcal6%Fat 4.5g1.4g2% of which saturates 0.7g0.2g1%Carbohydrate 82g25g of which sugars 35g11g12%Fibre 2.5g0.8gProtein 6g1.8gSalt 0.75g0.23g4%Vitamin D 8.4µg167%2.5µg50%Thiamin (B1) 0.91mg83%0.28mg25%Riboflavin (B2) 1.2mg83%0.35mg25%Niacin (B3)13.3mg83%4.0mg25%Vitamin B6 1.2mg83%0.35mg25%Folic Acid (B9)334µg167%100µg50%Vitamin B12 2.1µg83%0.63µg25%Iron 8,https://www.tesco.com/groceries/en-GB/products/256267349
Cadbury Twirl 4 Pack 136G,(7),3.7,0.98,2 Milk chocolate fingers,"By Appointment to H.M. The Queen Cocoa and Chocolate Manufacturers Cadbury UK Ltd., Bournville.",Energy 2209 kJ ,Energy 2209 kJ375 kJ8400 kJ /-528 kcal90 kcal2000 kcalFat 29 g4.9 g70 gof which Saturates 17 g2.9 g20 gCarbohydrate 59 g10 g260 gof which Sugars 58 g9.9 g90 gFibre 2.3 g0.4 g-Protei,https://www.tesco.com/groceries/en-GB/products/266712758
Cadbury Dairy Milk 110G,(8),3.9,0.98,Milk chocolate.,"By Appointment to H.M. The Queen Cocoa and Chocolate Manufacturers Cadbury UK Ltd., Bournville.",Energy 2232 kJ / 534 kcal ,Energy 2232 kJ / 534 kcal613 kJ / 147 kcal8400 kJ / 2000 kcalFat 30 g8.4 g70 g of which Saturates 18 g5.1 g20 gCarbohydrate 57 g16 g260 g of which Sugars 56 g15 g90 gFibre 2.1 g0.5 g-Protei,https://www.tesco.com/groceries/en-GB/products/284117451
Kit Kat 2 Finger Milk Chocolate Biscuits 9 Pack 186.3G,(51),4.7,1.50,Nine bars of two crispy wafer fingers covered with milk chocolate (66%).,"Sugar, Wheat Flour (contains Calcium, Iron, Thiamin and Niacin), Milk Powders (Whole and Skimmed), Cocoa Mass, Cocoa Butter, Vegetable Fats (Palm, Shea, Mango Kernel, Sal), Lactose and Proteins from Whey (from Milk), Whey Powder (from Milk), Butterfat (from Milk), Emulsifier (Lecithins), Yeast, Raising Agent (Sodium Bicarbonate), Natural Flavourings",Energy 2103kJ ,Energy2103kJ436kJ8400kJ-502kcal104kcal2000kcal5%Fat24.5g5.1g70g7%of which: saturates13.4g2.8g20g14%Carbohydrate62.3g12.9g260g5%of which: sugars49.4g10.2g90g11%Fibre2.3g0.5g--Protein7.0g1.4g50g3%Salt0.22g0.05g6g1%*Reference Intake of an average adult (8400K,https://www.tesco.com/groceries/en-GB/products/297556924
Cadbury Wispa 4 Pack 120G,(5),3.8,0.98,Textured milk chocolate bar.,"By Appointment to H.M. The Queen Cocoa and Chocolate Manufacturers Cadbury UK Ltd., Bournville.",Energy 2290 kJ ,Energy 2290 kJ699 kJ8400 kJ/-550 kcal167 kcal2000 kcalFat 34.0 g10.5 g70 gof which Saturates 21.0 g6.4 g20 gCarbohydrate 52.5 g16.0 g260 gof which Sugars 52.5 g16.0 g90 gFibre 1.0 g0.3 g-Prot,https://www.tesco.com/groceries/en-GB/products/283787257
Tesco Chickpeas In Water 400G,(20),3.8,0.55,Chickpeas in water.,"INGREDIENTS: Chickpeas, Water.",Energy 483kJ / 115kcal ,Energy483kJ / 115kcal579kJ / 138kcalFat2.2g2.7gSaturates0.3g0.4gCarbohydrate13.6g16.3gSugars0.4g0.4gFibre6.9g8.3gProtein6,https://www.tesco.com/groceries/en-GB/products/262490576
Cadbury Dairy Milk Chocolate Bar 200G,(7),4.6,1.80,Milk Chocolate.,"By Appointment to H.M. The Queen Cocoa and Chocolate Manufacturers Cadbury UK Ltd., Bournville.",Energy 2232 kJ ,Energy 2232 kJ557 kJ8400 kJ /-534 kcal133 kcal2000 kcalFat 30 g7.6 g70 gof which Saturates 18 g4.6 g20 gCarbohydrate 57 g14 g260 gof which Sugars 56 g14 g90 gFibre 2.1 g0.5 g-Protei,https://www.tesco.com/groceries/en-GB/products/273968548
Tesco Red Kidney Beans 400G,(21),2.8,0.55,Red kidney beans in water.,"INGREDIENTS: Red Kidney Beans, Water, Firming Agent (Calcium Chloride).",Energy 468kJ / 111kcal ,Energy468kJ / 111kcal561kJ / 134kcalFat0.8g1.0gSaturates0.2g0.2gCarbohydrate13.5g16.2gSugars0.7g0.8gFibre9.6g11.5gProtein7.7,https://www.tesco.com/groceries/en-GB/products/259061829
Twix Biscuit 9 Pack 207G,No ratings yet,Nan,1.75,Milk Chocolate (35%) covered caramel (32%) and biscuit (26%),"Sugar, Glucose Syrup, Wheat Flour (17%), Palm Fat, Cocoa Butter, Skimmed Condensed Milk, Cocoa Mass, Skimmed Milk Powder, Lactose, Milk Fat, Whey Powder (from Milk), Fat Reduced Cocoa, Salt, Emulsifier (Soya Lecithin), Raising Agent (E500), Natural Vanilla Extract",Energy 2072kJ ,Energy 2072kJ477kJ (6%)-495kcal114kcal (6%)Fat 23.9g5.5g (8%) of which saturates 13.9g3.2g (16%)Carbohydrate 64.6g14.9g (6%) of which sugars 48.8g11.2g (12%)Pr,https://www.tesco.com/groceries/en-GB/products/264503272
Branston Beans In Tomato Sauce 410G,(14),5,0.65,Baked Beans in tomato sauce,"Beans (51%), Tomatoes (38%), Water, Sugar, Modified Maize Starch, Reduced Sodium Sea Salt, Spirit Vinegar, Salt, Paprika, White Pepper, Spices, Flavourings",Nan,Energy (kJ)359737Energy (kcal)85175Fat (g)0.61.2 of which saturates (g)0.10.3Carbohydrate (g)12.525.6 of which sugars (g)4.79.6Fibre (g)5.,https://www.tesco.com/groceries/en-GB/products/275205504
Walkers Ready Salted Crisps 6X25g,(8),4.9,1.50,Ready Salted Potato Crisps,"Potatoes, Vegetable Oils (Sunflower, Rapeseed, in varying proportions), Salt",Energy 549kJ ,Energy 549kJ2194kJ-132kcal(7%*)526kcalFat 8.0g(11%*)31.9gof which Saturates 0.7g(3%*)2.6gCarbohydrate 12.9g51.5gof which Sugars 0.1g(<1%*)0.4gFibre 1.1g,https://www.tesco.com/groceries/en-GB/products/254926800
Kp Skips Prawn Cocktail Crisps 6 X 13.1G,(8),4.2,Nan,Prawn Cocktail Flavour Tapioca Snack,"Tapioca Starch, Sunflower Oil (32%), Maize Flour, Prawn Cocktail Flavour [Sugar, Salt, Natural Flavourings, Acid: Citric Acid, Dried Onion, Natural Vinegar Flavouring, Potassium Chloride, Yeast Extract, Spice, Dried Tomato, Natural Pepper Flavourings, Colour: Paprika Extract], Rice Protein, Sugar, Salt, Colour: Paprika Extract",Energy 2268kJ ,Energy2268kJ297kJ-543kcal71kcalFat32g4.2g of which saturates3.1g0.4gCarboh,https://www.tesco.com/groceries/en-GB/products/295709926
Tesco Microwave Basmati Rice 250G,(27),3.4,0.35,Cooked basmati rice.,"INGREDIENTS: Cooked Basmati Rice (98%) [Water, Basmati Rice], Sunflower Oil.",Energy 562kJ / 133kcal ,Energy562kJ / 133kcal702kJ / 166kcalFat1.2g1.5gSaturates0.3g0.4gCarbohydrate27.4g34.3gSugars0.1g0.1gFibre0.7g0.9gProtein2.7g3.4gSalt0.1g0.1g* Refe,https://www.tesco.com/groceries/en-GB/products/251680648
Tesco Natural Sweet Sweetcorn In Water 200G,(11),4.1,0.45,Naturally sweet sweetcorn in water.,"Sweetcorn, Water.",Energy 338kJ / 80kcal ,Energy338kJ / 80kcal540kJ / 129kcalFat1.9g3.0gSaturates0.4g0.6gCarbohydrate11.6g18.5gSugars6.8g10.9gFibre2.9g4.6gProtein2.8,https://www.tesco.com/groceries/en-GB/products/252695430
Granulated Sugar 1Kg,(7),4.3,0.65,Granulated Sugar,"By Appointment to HM the Queen Manufacturers of Sugar, British Sugar plc Peterborough",Nan,Energy kJ1700kJ68kJkcal400kcal16kcalFat 0g0gof which Saturates,https://www.tesco.com/groceries/en-GB/products/252528422
Heinz Baked Beans In Tomato Sauce 415G,(17),3.4,0.85,Baked Beans in tomato sauce.,"Beans (51%), Tomatoes (34%), Water, Sugar, Spirit Vinegar, Modified Corn Flour, Salt, Spice Extracts, Herb Extract",Energy 329kJ ,Energy 329kJ682kJ-78kcal162kcal8%Fat 0.2g0.4g1%- of which saturates <0.1g<0.1g<1%Carbohydrate 12.5g25.9g10%- of which sugars 4.7g9.8g11%Fibre 3.7g7.7gProtein 4,https://www.tesco.com/groceries/en-GB/products/252261477
Tesco Fusilli Pasta Twists 1Kg,(7),4.4,1.00,Dried fusilli pasta made from durum wheat semolina.,INGREDIENTS: Durum Wheat Semolina.,Energy 748kJ / 176kcal ,Energy748kJ / 176kcal1271kJ / 300kcalFat0.7g1.1gSaturates0.2g0.3gCarbohydrate35.7g60.7gSugars1.1g1.9gFibre2.2g3.7gProtein5.8g9.9gSalt0.1g0.1g* Reference intake of an average adult (8400 kJ / 2000 kcal)--Wh,https://www.tesco.com/groceries/en-GB/products/254878499
Heinz Cream Of Tomato Soup 400G,(15),4,0.95,Cream of Tomato Soup.,"Tomatoes (89%), Water, Modified Cornflour, Sugar, Rapeseed Oil, Dried Skimmed Milk, Salt, Cream (Milk), Milk Proteins, Acidity Regulator - Citric Acid, Spice Extracts, Herb Extract",Energy 215kJ ,Energy 215kJ429kJ-51kcal102kcal5%Fat 2.1g4.3g6%- of which saturates 0.2g0.4g2%Carbohydrate 6.8g13.6g5%- of which sugars 4.8g9.7g11%Fibre 0.6g1.3gProtein ,https://www.tesco.com/groceries/en-GB/products/258147391
Heinz Spaghetti Hoops In Tomato Sauce 205G,(3),4.7,0.50,Spaghetti hoops in tomato sauce with iron and vitamin D,"Spaghetti Hoops (42%, Water, Durum Wheat Semolina), Tomatoes (41%), Water, Sugar, Modified Cornflour, Salt, Acid - Citric Acid, Spice, Garlic Salt, Onion Extract, Spice Extract, Iron Sulphate, Vitamin D",Energy 218kJ ,Energy 218kJ448kJ-52kcal106kcal5%Fat 0.2g0.5g1% of which saturates Trace0.1g<1%Carbohydrate 10.4g21.3g8% of which sugars 3.9g8.0g9%Fibre 0.6g1.2gProtein 1.6g3.4g7%Salt 0.4g0.8g13%Vitamin D 0.37µg0,https://www.tesco.com/groceries/en-GB/products/252750146
Heinz Baked Beans In Tomato Sauce 200G,(6),4.5,0.55,Baked Beans in tomato sauce.,"Beans (51%), Tomatoes (34%), Water, Sugar, Spirit Vinegar, Modified Corn Flour, Salt, Spice Extracts, Herb Extract",Energy 329kJ ,Energy 329kJ659kJ-78kcal156kcal8%Fat 0.2g0.4g1%- of which saturates <0.1g<0.1g<1%Carbohydrate 12.5g25.0g10%- of which sugars 4.7g9.4g10%Fibre 3.7g7.4gProtein 4,https://www.tesco.com/groceries/en-GB/products/250993529
Oreo Vanilla 154G,(2),3,1.00,Chocolate Flavour Sandwich Biscuits with a Vanilla Flavour Filling (29 %).,"Wheat Flour, Sugar, Palm Oil, Rapeseed Oil, Fat Reduced Cocoa Powder 4.3 %, Wheat Starch, Glucose-Fructose Syrup, Raising Agents (Ammonium Carbonates, Potassium Carbonates, Sodium Carbonates), Salt, Emulsifier (Soya Lecithins), Acidity Regulator (Sodium Hydroxide), Flavouring",Energy 1997 kJ ,Energy 1997 kJ220 kJ-476 kcal52 kcal3 %Fat 20 g2.2 g3 % of which Saturates 5.4 g0.6 g3 %Carbohydrate 68 g7.5 g3 % of which Sugars 38 g4.1 g5 %Fibre 2.7 g0.3 g-Pro,https://www.tesco.com/groceries/en-GB/products/264375347
Tesco Digestive Biscuits 400G,(53),3.9,0.50,Digestive biscuits.,"INGREDIENTS: Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Palm Oil, Wholemeal Wheat Flour, Sugar, Rapeseed Oil, Dried Skimmed Milk, Invert Sugar Syrup, Raising Agents (Sodium Bicarbonate, Ammonium Bicarbonate), Salt.",Energy 2008kJ / 479kcal ,Energy2008kJ / 479kcal281kJ / 67kcalFat20.6g2.9gSaturates7.9g1.1gCarbohydrate64.3g9.0gSugars15.3g2.1gFibre3.7g0.,https://www.tesco.com/groceries/en-GB/products/273331841
Tesco Variety Pack Biscuits 700G,(20),4,1.00,"Biscuit barrel selection pack. Malted milk biscuits, nice desiccated coconut biscuits, bourbon cream biscuits and custard cream biscuits.","Store in a cool, dry place and once opened in an airtight container.    ",Energy 2079kJ / 496kcal ,Energy2079kJ / 496kcal270kJ / 64kcalFat22.6g2.9gSaturates13.1g1.7gCarbohydrate66.3g8.6gSugars34.3g4.5gFibre2.5g0.3gProtein5.6g0.7gSalt0.3g0.1g* Refere,https://www.tesco.com/groceries/en-GB/products/301689876
Tesco Tomato Puree Tube 200G,(26),4.3,Nan,Tomato puree double concentrated 28%-30%,"INGREDIENTS: Tomato Purée, Acidity Regulator (Citric Acid).",Energy 53kJ / 13kcal ,Energy53kJ / 13kcal355kJ / 84kcalFat<0.1g0.3gSaturates<0.1g<0.1gCarbohydrate2.1g14.0gSugars2.1g14.0gFibre0.5g3.,https://www.tesco.com/groceries/en-GB/products/254879475
Tesco Sieved Tomatoes Passata 500G Ce,(32),2.2,0.40,Sieved tomato passata.,"INGREDIENTS LIST:Tomato, Acidity Regulator (Citric Acid). ",Energy 90kJ / 21kcal ,Energy90kJ / 21kcal225kJ / 53kcalFat0.2g0.5gSaturates0.1g0.3gCarbohydrate3.1g7.9gSugars3.0g7.4gFibre1.1g2.8,https://www.tesco.com/groceries/en-GB/products/254874296
Growers Harvest Tomato Passata 500G,(9),4.9,0.32,Sieved tomato passata.,"INGREDIENTS: Tomatoes, Acidity Regulator (Citric Acid).",Energy 117kJ / 28kcal ,Energy117kJ / 28kcal292kJ / 69kcalFat0.5g1.2gSaturates0.1g0.3gCarbohydrate4.4g11.0gSugars4.3g10.9gFibre0.6g1.,https://www.tesco.com/groceries/en-GB/products/300522845
Tesco Italian Chopped Tomatoes 400G Ce,(30),3.9,0.35,Chopped tomatoes in rich tomato juice.,"INGREDIENTS LIST:Tomato (65%), Concentrated Tomato Juice, Acidity Regulator (Citric Acid).",Energy 106kJ / 25kcal ,Energy106kJ / 25kcal213kJ / 50kcalFat0.2g0.4gSaturates<0.1g<0.1gCarbohydrate4.0g8.0gSugars4.0g8.0gFibre0.9g1.8,https://www.tesco.com/groceries/en-GB/products/251825089
Tesco Bourbon Creams Biscuits 296G,(95),4.6,0.45,Chocolate sandwich biscuit with a chocolate flavoured filling.,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Sugar, Palm Oil, Fat Reduced Cocoa Powder, Glucose Syrup, Dextrose, Wheat Starch, Raising Agents (Ammonium Bicarbonate, Sodium Bicarbonate), Salt, Flavouring.",Energy 2041kJ / 487kcal ,Energy2041kJ / 487kcal286kJ / 68kcalFat21.4g3.0gSaturates12.1g1.7gCarbohydrate65.9g9.2gSugars25.2g3.5gFibre2.8g0.,https://www.tesco.com/groceries/en-GB/products/290329100
Growers Harvest Sweetcorn In Salt Water 325G,(33),2.4,0.35,Sweetcorn in water with sugar and salt added.,"INGREDIENTS: Sweetcorn, Water, Sugar, Salt.",Energy 466kJ / 110kcal ,Energy466kJ / 110kcal605kJ / 143kcalFat1.2g1.6gSaturates0.2g0.3gCarbohydrate21.0g27.3gSugars2.3g3.0gFibre2.5g3.3gProtein2,https://www.tesco.com/groceries/en-GB/products/300792795
Tesco Custard Cream Biscuits 400G,(100),4.6,0.45,Sandwich biscuit with a vanilla flavour filling.,"INGREDIENTS: Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Sugar, Palm Oil, Whey Powder (Milk), Glucose Syrup, Wheat Starch, Raising Agents (Ammonium Bicarbonate, Sodium Bicarbonate), Salt, Flavouring, Colour (Mixed Carotenes).",Energy 2056kJ / 490kcal ,Energy2056kJ / 490kcal247kJ / 59kcalFat20.5g2.5gSaturates12.8g1.5gCarbohydrate70.1g8.4gSugars28.3g3.4gFibre1.1g0.,https://www.tesco.com/groceries/en-GB/products/254921258
Grower's Harvest Chopped Tomatoes 400G,(32),3.7,0.28,Chopped tomatoes in tomato juice.,"INGREDIENTS LIST:Tomatoes (60%), Tomato Juice, Acidity Regulator (Citric Acid).",Energy 185kJ / 44kcal ,Energy185kJ / 44kcal93kJ / 22kcalFat0.2g0.1gSaturates<0.1g<0.1gCarbohydrate7.6g3.8gSugars7.6g3.8gFibre1.4g0.7,https://www.tesco.com/groceries/en-GB/products/299768716
Tesco Milk Chocolate Digestive 300G,(52),4.6,0.60,Digestive biscuits half coated in milk chocolate.,"INGREDIENTS: Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Milk Chocolate (30%) [Sugar, Cocoa Mass, Cocoa Butter, Dried Skimmed Milk, Whey Powder (Milk), Milk Fat, Palm Oil, Sal Fat, Shea Fat, Emulsifier (Soya Lecithins)], Palm Oil, Wholemeal Wheat Flour, Sugar, Glucose Syrup, Raising Agents (Sodium Bicarbonate, Ammonium Bicarbonate), Salt.",Energy 2105kJ / 503kcal ,Energy2105kJ / 503kcal358kJ / 85kcalFat24.3g4.1gSaturates12.4g2.1gCarbohydrate62.5g10.6gSugars24.5g4.2gFibre3.1g0.,https://www.tesco.com/groceries/en-GB/products/254924572
Green Giant Original Sweet Corn 198G,(1),3,0.70,Sweet corn kernels in brine.,"Sweet Corn, Water, Salt, Contains naturally occurring Sugars",Energy 324 kJ / 77 kcal ,Energy 324 kJ / 77 kcal259 kJ / 62 kcal3%Fat 1.7 g1.4 g2%of which saturates 0.4 g0.3 g2%Carbohydrate 11.8 g9.4 g4%of which sugars 7.4 g5.9 g7%Fibre 2.5 g2.0 g-Protein 2.4 g1.9 g4%Salt 0.40 g0,https://www.tesco.com/groceries/en-GB/products/254875174
Tesco Baked Beans No Added Sugar 420G,(66),1.5,0.30,Baked beans in tomato sauce with sweetener.,"INGREDIENTS LIST:Haricot Beans (49%), Water, Reconstituted Tomato Purée (20%), Modified Maize Starch, Salt, Flavourings, Onion Powder, Sweetener (Steviol Glycosides), Paprika, Maltodextrin, Rapeseed Oil, Onion Extract.",Energy 304kJ / 72kcal ,Energy304kJ / 72kcal638kJ / 151kcalFat0.6g1.3gSaturates0.2g0.4gCarbohydrate10.9g22.9gSugars1.1g2.3gFibre3.1g6.,https://www.tesco.com/groceries/en-GB/products/300522943
Stockwell & Co Baked Beans In Tomato Sauce 420G,(66),3.9,0.23,Baked beans in tomato sauce.,"INGREDIENTS LIST:Haricot beans (44%), Tomato Purée (27%), Water, Sugar, Glucose-Fructose Syrup, Modified Maize Starch, Salt, Onion Powder, Paprika, Maltodextrin, Spice Extracts, Flavouring.",Energy 365kJ / 87kcal ,Energy365kJ / 87kcal766kJ / 182kcalFat0.5g1.1gSaturates0.1g0.3gCarbohydrate14.6g30.7gSugars4.5g9.5gFibre4.4g9.2,https://www.tesco.com/groceries/en-GB/products/299669062
Ms Molly's Milk Chocolate Bar 100G,(33),4.6,0.30,Pack size: 100G,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/300795072
Tesco Baked Beans In Tomato Sauce 420G,(51),4.1,0.30,Baked beans in tomato sauce.,"INGREDIENTS: Haricot beans (49%), Water, Tomato Purée (20%), Sugar, Modified Maize Starch, Salt, Onion Powder, Paprika, Maltodextrin, Colour (Paprika Extract), Flavouring (Clove Extract, Capsicum Extract).",Energy 367kJ / 87kcal ,Energy367kJ / 87kcal772kJ / 183kcalFat0.6g1.2gSaturates0.1g0.3gCarbohydrate14.1g29.7gSugars4.7g9.8gFibre3.7g7.,https://www.tesco.com/groceries/en-GB/products/258510116
Stockwell & Co Tuna Chunks In Brine 145G,(15),4.2,0.59,Skipjack tuna chunks in brine.,"INGREDIENTS: Skipjack Tuna (Fish), Water, Salt.",Energy 460kJ / 109kcal ,Energy460kJ / 109kcal235kJ / 55kcalFat1.0g0.5gSaturates0.3g0.2gCarbohydrate0g0gSugars0g0gFibre0g0gProtein24.,https://www.tesco.com/groceries/en-GB/products/300535536
Hearty Food Co. Spaghetti Pasta 500G,(25),4.8,Nan,Dried spaghetti pasta made from durum wheat semolina and wheat flour,"INGREDIENTS: Durum Wheat Semolina, Soft Wheat Flour.",Energy 738kJ / 174kcal ,Energy738kJ / 174kcal1255kJ / 296kcalFat0.6g1.0gSaturates0.2g0.3gCarbohydrate36.1g61.3gSugars1.1g1.8gFibre1.2g2.0gProtein5.5g9.4gSalt0.1g0.1g* Reference intake of an average adult (8400 kJ / 2000 kcal)--When *,https://www.tesco.com/groceries/en-GB/products/297844134
Tesco Rich Tea Biscuit 300G,(60),4.4,Nan,Rich tea biscuits.,"INGREDIENTS: Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Sugar, Palm Oil, Rapeseed Oil, Barley Malt Extract, Raising Agents (Sodium Bicarbonate, Ammonium Bicarbonate, Disodium Diphosphate), Glucose Syrup, Salt, Preservative (Sodium Metabisulphite).",Energy 1895kJ / 450kcal ,Energy1895kJ / 450kcal182kJ / 43kcalFat14.2g1.4gSaturates5.5g0.5gCarbohydrate71.8g6.9gSugars19.8g1.9gFibre3.1g0.3,https://www.tesco.com/groceries/en-GB/products/295229307
Sensations Thai Sweet Chilli 150G,(9),4,1.00,Thai Sweet Chilli Flavour Potato Crisps,"Potatoes, Vegetable Oils (Sunflower, Rapeseed, in varying proportions), Thai Sweet Chilli Seasoning, Salt, Firming Agent (Calcium Chloride), Thai Sweet Chilli Seasoning contains: Sugar, Fructose, Buttermilk Powder (contains Milk), Dried Soy Sauce (Soya Beans, Wheat), Tomato Powder, Onion Powder, Hydrolysed Soya Protein, Flavourings, Garlic Powder, Dried Parsley, Chilli Powder, Potassium Chloride, Dried Red Peppers, Paprika Powder, Colour (Paprika Extract)",Energy 619kJ ,Energy 619kJ2065kJ-148kcal(7%*)494kcalFat 7.4g(11%*)24.7g of which Saturates 0.7g(3%*)2.3gCarbohydrate 17.7g59.0g of which Sugars 1.2g(1%*)4.0gFibre 1.1g3.7gProtein 2.1g6.9gSalt 0.43g(,https://www.tesco.com/groceries/en-GB/products/267308049
Pot Noodle King Chicken & Mushroom 114G,(47),4.4,0.90,Noodles in a Chicken and Mushroom flavour sauce with vegetables and a little sachet of soy sauce.,"Noodles:Noodles (51%) [WHEAT flour, palm fat, salt, firming agents (potassium carbonate, sodium carbonate)].
Sauce and Vegetables:Water, maltodextrin, WHEAT flour, vegetables (2.7%) [mushrooms (1.5%), sweetcorn, onion powder], potassium chloride, flavour enhancers (monosodium glutamate, disodium inosinate, disodium guanylate), flavourings (contain WHEAT, MILK), sugar, skimmed MILK powder, salt, palm fat, yeast powder (contains WHEAT, BARLEY), herbs, acid (citric acid), mushroom juice concentrate, colour (curcumin).
Sachet:Soy sauce (1%) [water, soy sauce (SOYBEANS, WHEAT), salt, molasses, sugar, acid (acetic acid)].
May contain egg, celery and mustard",Nan,Energy (kJ)587 kJ1916 kJ2260 kJ27%Energy (kcal)142 kcal463 kcal547 kcal27%Fat (g)5.4 g18 g21 g30%of which saturates (g)2.6 g8.6 g10 g50%Carbohydrate (g)19 g63 g73 g28%of which sugars (g)1.2 g4 g4.6 g5%Fibre (g)1.2 g3.7 g4.6 g0%Protein (g)3.2 g10 g12 g24%Salt (g)0.63 g2 g2.4 g40%*% of Reference int,https://www.tesco.com/groceries/en-GB/products/260135097
Tesco Squeezy Honey 340G,(20),4.6,1.80,Honey.,"Store at room temperature. Do not refrigerate.    Crystallisation may occur if stored incorrectly. If this happens, place the bottle in warm water.
    ",Energy 1386kJ / 326kcal ,Energy1386kJ / 326kcal208kJ / 49kcalFat0.0g0.0gSaturates<0.1g<0.1gCarbohydrate81.0g12.2gSugars81.0g12.2gFibre0.0g0.,https://www.tesco.com/groceries/en-GB/products/274088885
Silver Spoon Caster Sugar 1Kg,No ratings yet,Nan,1.60,Caster Sugar,"By Appointment to HM The Queen Manufacturers of Sugar, British Sugar plc Peterborough",Nan,Energy kJ1700kJ68kJkcal400kcal16kcalFat 0g0gof which Saturates,https://www.tesco.com/groceries/en-GB/products/301965329
Heinz Top Down Tomato Ketchup 910G,(3),5,2.80,Tomato Ketchup.,"Tomatoes (148g per 100g Tomato Ketchup), Spirit Vinegar, Sugar, Salt, Spice and Herb Extracts (contain Celery), Spice",Nan,Energy 435kJ65kJ-102kcal15kcalFat 0.1gTrace-of which saturates TraceTraceCar,https://www.tesco.com/groceries/en-GB/products/254722768
